job_loss_article_headline,job_loss_article_url,job_loss_country_name,job_loss_date_accessed,job_loss_dates_mentioned,job_loss_entities_mentioned,job_loss_extracted_text,job_loss_id,job_loss_language,job_loss_numbers_mentioned,job_loss_publication_date,job_loss_publication_name,country,id
'In pictures: the lost jobs in the fashion industry',https://fashionunited.de/nachrichten/business/in-bildern-die-verlorenen-jobs-der-modebranche/2020090236938,Germany,2020-10-24,[],[],"A slump in sales was followed by bankruptcies, and many corporations responded with layoffs.",5132,German,[],"'Wednesday, September 02, 2020'",Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],[],"But also those companies that are against passing the
It is not always easy to decide to cut taxes.",5156,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Controversial but unavoidable: VAT will be reduced from July',https://fashionunited.de/nachrichten/business/umstritten-aber-unausweichlich-ab-juli-wird-die-mehrwertsteuer-gesenkt/2020062636127,Germany,2020-10-24,[],['Fashion'],"But whether a sales tax cut from 19 to 16 percent for the
Fashion trade is a suitable tool is doubted by many.",5138,German,[],'Friday June 26th 2020',Fashion United Business - Germany,Germany,16
"'Orders for SS21: ""The collections are all getting smaller and more focused""'",https://fashionunited.de/nachrichten/business/ordern-fuer-ss21-die-kollektionen-werden-alle-kleiner-und-fokussierter/2020072036428,Germany,2020-10-24,[],[],"Collections where the customer knows the cuts and qualities
already knows.",5172,German,[],'Monday 20th July 2020',Fashion United Business - Germany,Germany,16
'Fashion Revolution Week 2020: more relevant than ever',https://fashionunited.de/nachrichten/business/fashion-revolution-week-2020-relevanter-denn-je/2020042135327,Germany,2020-10-24,[],['Factory'],"Countless
Factory workers now see themselves with unemployment and loss of existence
faced.",5198,German,[],"'Tuesday April 21, 2020'",Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],['Politics'],"Declared goal of
Politics is to cut taxes as unbureaucratic and as possible
to be passed on to consumers at low cost.",5137,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
"'Esprit is laying off 1,200 employees and closing half of its German stores'",https://fashionunited.de/nachrichten/business/esprit-entlaesst-1-200-mitarbeiter-und-schliesst-die-haelfte-seiner-deutschen-stores/2020070136191,Germany,2020-10-24,[],"['Esprit', 'Germany']","Esprit wants to cut 20 percent of jobs worldwide and that
Close half of its stores in Germany.",5168,German,['half'],'Wednesday 01 July 2020',Fashion United Business - Germany,Germany,16
'Coronavirus lockdown: the fashion industry in a state of emergency',https://fashionunited.de/nachrichten/business/coronavirus-lockdown-die-modebranche-im-ausnahmezustand/2020032134998,Germany,2020-10-24,[],[],"Fashion retailers are now trying to cut spending everywhere, with rents and deliveries causing the most headaches.",5189,German,[],"'Saturday March 21, 2020'",Fashion United Business - Germany,Germany,16
'Galeria Karstadt Kaufhof could close 80 branches: media reports',https://fashionunited.de/nachrichten/business/was-war-diese-woche-los-bei-galeria-karstadt-kaufhof-medienberichte-sprechen-von-80-filialschliessungen/2020051535673,Germany,2020-10-24,['weeks'],['Reversal'],"""Few weeks
later now comes the
Reversal and a clear cut at the expense of the employees.",5158,German,[],'Friday 15th May 2020',Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],[],"For stationary retail, for example, the question arises whether for
During the period of tax cuts all prices on the shelf were re-branded
which can mean a massive effort.",5143,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Bugatti is cutting almost 100 jobs in Herford',https://fashionunited.de/nachrichten/business/bugatti-streicht-knapp-100-stellen-in-herford/2020090937038,Germany,2020-10-24,[],"['Covid-19', 'Bugatti', 'GmbH']","Given the massive drop in sales as a result of the Covid-19 pandemic
the clothing supplier Bugatti GmbH must also cut jobs.",5178,German,[],"'Wednesday, September 09, 2020'",Fashion United Business - Germany,Germany,16
'Adidas: Federal government approves billion dollar loan',https://fashionunited.de/nachrichten/business/adidas-bundesregierung-genehmigt-milliardenkredit/2020041435249,Germany,2020-10-24,['Last weeks'],"['Adidas', 'Savings', 'Management', 'buyback', 'Suspension', 'CEO', 'Rorsted']","Given the significant loss of revenue, Adidas had in the
Last weeks, in addition to working time reductions, extensive
Savings made: “These measures include strict control
all costs and short-term working capital that cut the
Management remuneration, the stop of the share buyback program and the
Suspension of dividend payments ”, explained CEO Rorsted.",5183,German,[],"'Tuesday April 14, 2020'",Fashion United Business - Germany,Germany,16
'Gerry Weber: A majority of creditors agree to a debt deferral',https://fashionunited.de/nachrichten/business/gerry-weber-glaeubiger-stimmen-forderungsstundung-mehrheitlich-zu/2020060235825,Germany,2020-10-24,['early May\n'],"['May', 'Gerry', 'Weber']","Had already in early May
Gerry Weber announced the cut of 200 jobs.",5149,German,['200'],"'Tuesday, June 02, 2020'",Fashion United Business - Germany,Germany,16
'German government puts billions in rescue packages for the economy',https://fashionunited.de/nachrichten/business/deutsches-kabinett-will-umfassende-corona-notpakete-beschliessen/2020032335001,Germany,2020-10-24,[],[],"However, he assumes that the aid programs will prevent unemployment and corporate bankruptcies from rising dramatically.",5190,German,[],'Monday 23 March 2020',Fashion United Business - Germany,Germany,16
'\n Recht &amp; Praxis: Kurzarbeit für Modeunternehmen erklärt\n',https://fashionunited.de/nachrichten/business/recht-praxis-kurzarbeit-fuer-modeunternehmen-erklaert/2020032335005,Germany,2020-10-24,[],[],"However, overtime has to be cut first and part of the vacation has to be brought in.",5193,German,[],'Monday 23 March 2020',Fashion United Business - Germany,Germany,16
'Controversial but unavoidable: VAT will be reduced from July',https://fashionunited.de/nachrichten/business/umstritten-aber-unausweichlich-ab-juli-wird-die-mehrwertsteuer-gesenkt/2020062636127,Germany,2020-10-24,[],[],"If you want to pass the tax cut on to the consumer, you have to do certain things
Pay attention to the rules.",5144,German,[],'Friday June 26th 2020',Fashion United Business - Germany,Germany,16
'Under Armor reports quarterly loss of $ 590 million',https://fashionunited.de/nachrichten/business/under-armour-meldet-quartalsverlust-von-590-millionen-us-dollar/2020051135595,Germany,2020-10-24,['this year'],['Investments'],"In addition, the planned for this year
Investments will be cut by $ 100 million.",5182,German,[],"'Monday May 11, 2020'",Fashion United Business - Germany,Germany,16
'In pictures: the lost jobs in the fashion industry',https://fashionunited.de/nachrichten/business/in-bildern-die-verlorenen-jobs-der-modebranche/2020090236938,Germany,2020-10-24,[],"['Tapestry', 'Coach', 'Kate', 'Spade', 'Stuart', 'Weitzmann', 'Levi', 'PVH', 'Calvin', 'Klein', 'Tommy', 'Hilfiger']","In addition, there were job cuts at international fashion groups such as Tapestry, the group behind Coach, Kate Spade and Stuart Weitzmann, as well as Levi's and PVH, the company behind brands such as Calvin Klein and Tommy Hilfiger.",5135,German,[],"'Wednesday, September 02, 2020'",Fashion United Business - Germany,Germany,16
'Bogner plans to cut 150 jobs despite increased profits',https://fashionunited.de/nachrichten/business/bogner-plant-abbau-von-150-stellen-trotz-gewinnsteigerung/2020072336484,Germany,2020-10-24,['the middle of next year'],[],"In a first step, around 80 administrative posts are to be cut by the middle of next year.",5165,German,['80'],'Thursday 23 July 2020',Fashion United Business - Germany,Germany,16
'Controversial but unavoidable: VAT will be reduced from July',https://fashionunited.de/nachrichten/business/umstritten-aber-unausweichlich-ab-juli-wird-die-mehrwertsteuer-gesenkt/2020062636127,Germany,2020-10-24,[],['BBE'],"In a quick survey by BBE among 300 dealers
69.6 percent of the retailers surveyed thought the reduction in sales tax was
associated additional expense due to the tax cut for not proportionate.",5141,German,['300'],'Friday June 26th 2020',Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],['Tax'],"In case of a
Tax cut one can ask oneself if it is even one
Is a ""real"" discount.",5151,German,['one'],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Ahlers AG cuts 80 jobs',https://fashionunited.de/nachrichten/business/ahlers-ag-streicht-80-stellen/2020092337184,Germany,2020-10-24,[],[],"In order to keep the number of redundancies due to operational reasons as low as possible, the focus will be on voluntary part-time models, partial retirement, the use of natural fluctuation and internal staffing, the announcement said.",5181,German,[],'Wednesday 23 September 2020',Fashion United Business - Germany,Germany,16
'Bogner plans to cut 150 jobs despite increased profits',https://fashionunited.de/nachrichten/business/bogner-plant-abbau-von-150-stellen-trotz-gewinnsteigerung/2020072336484,Germany,2020-10-24,[],"['Bogner', 'Co', 'Gerrit', 'Schneider']","""It is important to us to implement the planned job cuts in a fair and appreciative manner,"" says Bogner Co-CEO Gerrit Schneider.",5166,German,[],'Thursday 23 July 2020',Fashion United Business - Germany,Germany,16
'Seven years later: did Rana Plaza prepare the fashion industry for Covid-19?',https://fashionunited.de/nachrichten/business/sieben-jahre-spaeter-hat-rana-plaza-die-modebranche-auf-covid-19-vorbereitet/2020042435404,Germany,2020-10-24,[],['Factories'],"It means that
Factories cut production or temporarily close their doors
have to lay off workers in the process; most of
them without severance payments or other bridging measures.",5199,German,[],'Friday April 24th 2020',Fashion United Business - Germany,Germany,16
'\n Hermès vs H&amp;M: Wie Modekonzerne im Krisenfall handeln\n',https://fashionunited.de/nachrichten/business/hermes-vs-h-m-wie-modekonzerne-im-krisenfall-handeln/2020042935452,Germany,2020-10-24,[],[],"It works
the question of how much money shareholders should get while employees have been laid off or salaries
be financed by the state, for example.",5202,German,[],"'Wednesday April 29, 2020'",Fashion United Business - Germany,Germany,16
'Galeria Karstadt Kaufhof could close 80 branches: media reports',https://fashionunited.de/nachrichten/business/was-war-diese-woche-los-bei-galeria-karstadt-kaufhof-medienberichte-sprechen-von-80-filialschliessungen/2020051535673,Germany,2020-10-24,['Friday'],"['Verdi', 'federal', 'Stefanie', 'Benefitberger', 'Notice', 'Friday']","It would appear that management and
the owners abuse the corona crisis to their original
To implement plans for site closings and layoffs "",
said Verdi federal board member Stefanie Benefitberger in a
Notice on Friday.",5155,German,[],'Friday 15th May 2020',Fashion United Business - Germany,Germany,16
'Despite new million dollar loans: Tally Weijl closes around 200 branches',https://fashionunited.de/nachrichten/business/trotz-neuer-millionenkredite-tally-weijl-schliesst-etwa-200-filialen/2020063036166,Germany,2020-10-24,['Monday'],"['Basel', 'Company', 'Monday']","Nevertheless, far-reaching cuts are necessary: ​​around a quarter of the current number
more than 800 branches would be closed, said the Basel-based company
Company on Monday.",5167,German,"['a quarter', 'more than 800']",'Tuesday June 30th 2020',Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],[],"Retailers,
which the tax cut in line with the legislative intention
want to pass on their customers, are included - depending on the goods offered and
chosen sales model - before very different questions.",5140,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Seidensticker cuts 60 jobs due to declining sales',https://fashionunited.de/nachrichten/business/seidensticker-streicht-60-stellen-wegen-umsatzrueckgaengen/2020082736873,Germany,2020-10-24,[],"['Seidensticker', 'Bielefeld']",Seidensticker is planning a further staff cut at the Bielefeld location.,5174,German,[],"'Thursday, August 27, 2020'",Fashion United Business - Germany,Germany,16
'Supply chains in turmoil: fashion companies cancel billion-dollar orders',https://fashionunited.de/nachrichten/business/lieferketten-in-aufruhr-modeunternehmen-stornieren-milliarden-auftraege/2020032535043,Germany,2020-10-24,['last week'],"['Jobs', 'Denmark']","So announced
the Danish group bestseller last week that he was 750
Jobs in his home market Denmark are being cut and the situation is also being checked internationally.",5196,German,['750'],"'Wednesday March 25, 2020'",Fashion United Business - Germany,Germany,16
'PVH increases annual sales and warns of coronavirus consequences',https://fashionunited.de/nachrichten/business/pvh-steigert-jahresumsatz-und-warnt-vor-coronavirus-folgen/2020040235129,Germany,2020-10-24,['the second quarter'],['Share'],"So were
Share buybacks stopped, investments cut back and dividends
deleted from the second quarter.",5186,German,[],"'Thursday, April 02, 2020'",Fashion United Business - Germany,Germany,16
'Controversial but unavoidable: VAT will be reduced from July',https://fashionunited.de/nachrichten/business/umstritten-aber-unausweichlich-ab-juli-wird-die-mehrwertsteuer-gesenkt/2020062636127,Germany,2020-10-24,[],['Maintains'],"So whoever thinks they have less work to do with the tax cut when they do
Maintains the retail price and collects the tax advantage completely itself,
will be disappointed.",5148,German,[],'Friday June 26th 2020',Fashion United Business - Germany,Germany,16
'Karstadt closes 20 sports branches - fear of dreary inner cities',https://fashionunited.de/nachrichten/business/karstadt-schliesst-20-sports-filialen-angst-vor-oeden-innenstaedten/2020062236050,Germany,2020-10-24,[],['Verdi'],"""Specifically, this means for those of job loss
affected employees an increase in salary to the level
of the area-wide collective agreements in the retail sector, ”emphasized Verdi
have noticeable consequences for the employees, because it is calculated
later the amount of unemployment benefit.",5160,German,[],"'Monday June 22, 2020'",Fashion United Business - Germany,Germany,16
'Galeria Karstadt Kaufhof could close 80 branches: media reports',https://fashionunited.de/nachrichten/business/was-war-diese-woche-los-bei-galeria-karstadt-kaufhof-medienberichte-sprechen-von-80-filialschliessungen/2020051535673,Germany,2020-10-24,['the beginning of April\n'],"['Galeria', 'Karstadt', 'Kaufhof', 'Employees', 'Job', 'April']","The ailing department store chain Galeria Karstadt Kaufhof is preparing its
Employees currently probably on site closings and another
Job cuts in the course of the protective shield proceedings initiated at the beginning of April
in front.",5152,German,[],'Friday 15th May 2020',Fashion United Business - Germany,Germany,16
'Ahlers AG cuts 80 jobs',https://fashionunited.de/nachrichten/business/ahlers-ag-streicht-80-stellen/2020092337184,Germany,2020-10-24,[],[],The aim is to implement the job cuts in a socially acceptable manner and in constructive cooperation with the employee representatives.,5180,German,[],'Wednesday 23 September 2020',Fashion United Business - Germany,Germany,16
'Gerry Weber can significantly reduce half-year loss',https://fashionunited.de/nachrichten/business/gerry-weber-kann-halbjahresverlust-deutlich-verringern/2020082136801,Germany,2020-10-24,"['the first half of 2020', 'Friday']","['Gerry', 'Weber', 'International', 'AG', 'Corona', 'Friday']","The clothing company Gerry Weber International AG had to go first
Accept a significant decline in sales in the first half of 2020 Besides the consequences
the Corona crisis would also have cuts in the sales network in the course of
recent restructuring measures, the company said on
Friday with.",5175,German,[],'Friday 21st August 2020',Fashion United Business - Germany,Germany,16
'Supply chains in turmoil: fashion companies cancel billion-dollar orders',https://fashionunited.de/nachrichten/business/lieferketten-in-aufruhr-modeunternehmen-stornieren-milliarden-auftraege/2020032535043,Germany,2020-10-24,[],"['Covid-19', 'International', 'Labor', 'Organization', 'ILO']","The economic and economic crisis caused by the Covid-19 pandemic
Labor crisis could reduce global unemployment by nearly 25 million
the International Labor Organization (ILO) estimates.",5195,German,[],"'Wednesday March 25, 2020'",Fashion United Business - Germany,Germany,16
'What does the fashion industry expect in autumn / winter 2020?',https://fashionunited.de/nachrichten/business/was-erwartet-die-modebranche-herbst-winter-2020/2020090736998,Germany,2020-10-24,[],"['Achim', 'Berg']","The effects of the recession in other industries will lead to increased unemployment, which will also affect consumption, says Achim Berg.",5177,German,[],"'Monday, September 07, 2020'",Fashion United Business - Germany,Germany,16
'S.Oliver Group announces structural reforms and layoffs',https://fashionunited.de/nachrichten/business/s-oliver-group-kuendigt-strukturreformen-und-entlassungen-an/2020032435024,Germany,2020-10-24,['Monday'],['Monday'],"The employees are
informed on Monday about “the plans and redundancies for operational reasons”
announced S.Oliver.",5194,German,[],"'Tuesday March 24, 2020'",Fashion United Business - Germany,Germany,16
'\n Hermès vs H&amp;M: Wie Modekonzerne im Krisenfall handeln\n',https://fashionunited.de/nachrichten/business/hermes-vs-h-m-wie-modekonzerne-im-krisenfall-handeln/2020042935452,Germany,2020-10-24,[],"['Hermès', 'Dollar', 'Paris']","The luxury company Hermès pays all salaries on, donates 20 million
Dollar to the Paris hospitals and cuts its dividend.",5201,German,[],"'Wednesday April 29, 2020'",Fashion United Business - Germany,Germany,16
'Esprit: New major shareholder North Point wants to exchange managing directors',https://fashionunited.de/nachrichten/business/esprit-neuer-grossaktionaer-north-point-will-geschaeftsfuehrer-austauschen/2020071036305,Germany,2020-10-24,['annual'],['Management'],"""The
Management is unanimous that any proposed dismissal
the executive directors pose a threat to the company's continued existence
would represent, especially at the time of the annual financial statements. """,5161,German,[],'Friday 10th July 2020',Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],[],"The
means that depositaries and franchisees also make their own decisions
whether they want to pass the tax cut on to customers or not.",5153,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Galeria Karstadt Kaufhof could close 80 branches: media reports',https://fashionunited.de/nachrichten/business/was-war-diese-woche-los-bei-galeria-karstadt-kaufhof-medienberichte-sprechen-von-80-filialschliessungen/2020051535673,Germany,2020-10-24,['Wednesday'],"['Pinkwart', 'Düsseldorf', 'Rheinische', 'Post', 'Wednesday']","""The planned job cuts must
socially acceptable solutions are found, ""said Pinkwart of the
Düsseldorf ""Rheinische Post"" on Wednesday.",5162,German,[],'Friday 15th May 2020',Fashion United Business - Germany,Germany,16
"'Esprit is laying off 1,200 employees and closing half of its German stores'",https://fashionunited.de/nachrichten/business/esprit-entlaesst-1-200-mitarbeiter-und-schliesst-die-haelfte-seiner-deutschen-stores/2020070136191,Germany,2020-10-24,[],['Wit'],"There are also other salary and
Discussed benefit cuts for employees in administration, shared
Wit with.",5169,German,[],'Wednesday 01 July 2020',Fashion United Business - Germany,Germany,16
'Galeria Karstadt Kaufhof could close 80 branches: media reports',https://fashionunited.de/nachrichten/business/was-war-diese-woche-los-bei-galeria-karstadt-kaufhof-medienberichte-sprechen-von-80-filialschliessungen/2020051535673,Germany,2020-10-24,[],"['Galeria', 'Karstadt', 'Kaufhof']","There is now a threat of layoffs at the Galeria department store group
Karstadt Kaufhof?",5150,German,[],'Friday 15th May 2020',Fashion United Business - Germany,Germany,16
'S.Oliver Group announces structural reforms and layoffs',https://fashionunited.de/nachrichten/business/s-oliver-group-kuendigt-strukturreformen-und-entlassungen-an/2020032435024,Germany,2020-10-24,[],['Rottendorfer'],"There will be layoffs in the
Rottendorfer headquarters of the company.",5192,German,[],"'Tuesday March 24, 2020'",Fashion United Business - Germany,Germany,16
'Ahlers AG cuts 80 jobs',https://fashionunited.de/nachrichten/business/ahlers-ag-streicht-80-stellen/2020092337184,Germany,2020-10-24,[],['Herford'],"These measures result in job cuts of around 80 employees, of which around 65 work in Herford, in all areas and hierarchical levels.",5179,German,"['around 80', 'around 65']",'Wednesday 23 September 2020',Fashion United Business - Germany,Germany,16
'Galeria Karstadt-Kaufhof: The closure of 62 branches is inevitable',https://fashionunited.de/nachrichten/business/verhandlungskreise-galeria-karstadt-kaufhof-soll-62-filialen-schliessen/2020061836027,Germany,2020-10-24,[],[],The union assessed the success of the fact that the company originally planned to cut ten percent of the jobs in the remaining branches was off the table.,5145,German,[],"'Thursday June 18, 2020'",Fashion United Business - Germany,Germany,16
'Exploitation in Europe: Human rights violations in production for German fashion brands',https://fashionunited.de/nachrichten/business/studie-ausbeutung-in-europa-menschenrechtsverstoesse-in-der-produktion-fuer-deutsche-modemarken/2020042835423,Germany,2020-10-24,[],['law'],"This contrasts with clear violations of national labor law,
because in all examined establishments irregularities occurred
Annual leave, sick leave, dismissal, overtime,
fixed-term contracts and maternity leave.",5200,German,[],"'Tuesday April 28, 2020'",Fashion United Business - Germany,Germany,16
'Let down? The impact of the corona crisis on factories and clothing workers',https://fashionunited.de/nachrichten/business/im-stich-gelassen-die-auswirkungen-der-corona-krise-auf-fabriken-und-bekleidungsarbeiter/2020040335146,Germany,2020-10-24,[],"['Garment', 'Research', 'Penn', 'Center', 'Global', 'Workers', 'CGWR', 'State', 'University']","This is a heavy blow for the suppliers; thousands of
Manufacturing companies have already had to close and millions of
Garment workers have been laid off, often without it
their legally entitled salary or transition allowance, so one
Research report from Penn's Center for Global Workers ’Rights (CGWR)
State University.",5187,German,"['thousands', 'millions', 'one']",'Friday 3rd April 2020',Fashion United Business - Germany,Germany,16
"'Procurement: #PayUp Initiative urges brands and retailers to pay for supplies now, not 60 days'",https://fashionunited.de/nachrichten/business/beschaffung-payup-initiative-draengt-marken-und-einzelhaendler-lieferungen-jetzt-zu-bezahlen-und-nicht-in-60-tagen/2020040835188,Germany,2020-10-24,"['years', 'the next\nMonths']","['Everything', 'Companies']","This often means dismissal for years
busy, loyal employees who will have a hard time, but despite
Everything a roof over your head, food on the table and hopefully one
Companies or a social system will have them in the next
Months helps.",5184,German,['one'],"'Wednesday, April 08, 2020'",Fashion United Business - Germany,Germany,16
'Fashion Revolution Week 2020: more relevant than ever',https://fashionunited.de/nachrichten/business/fashion-revolution-week-2020-relevanter-denn-je/2020042135327,Germany,2020-10-24,['This year'],"['Covid-19', 'Orders', 'Clothing', 'Famine']","This year is special
important to remember and to take action because in the face of
worldwide Covid-19 pandemic and the associated cancellation of
Orders and shutdowns of factories threatened by millions
Clothing workers in the producing countries and
their families not just unemployment, but poverty and
Famine.",5197,German,['millions'],"'Tuesday April 21, 2020'",Fashion United Business - Germany,Germany,16
"""Inquiry: What do brands want to know about workers' rights in Bangladesh?""",https://fashionunited.de/nachrichten/business/nachgefragt-was-wollen-marken-ueber-arbeiterrechte-in-bangladesch-wissen/2020012934368,Germany,2020-10-24,[],"['Blacklists', 'International', 'Laboratory', 'Rights', 'Forum', 'IFLR']","Up to 11,600 of them
were illegally discharged and made it due to
Blacklists fail to find work again, according to the International Laboratory
Rights Forum (IFLR).",5203,German,"['Up to 11,600']","'Wednesday January 29, 2020'",Fashion United Business - Germany,Germany,16
'Over for Sulingen: Lloyd closes production in Germany',https://fashionunited.de/nachrichten/business/aus-fuer-sulingen-lloyd-schliesst-produktion-in-deutschland/2020070836277,Germany,2020-10-24,[],['Germany'],"""We are all
aware that discontinuing series production in Germany is one
hard cut means. """,5170,German,['one'],'Wednesday 08 July 2020',Fashion United Business - Germany,Germany,16
'What does the fashion industry expect in autumn / winter 2020?',https://fashionunited.de/nachrichten/business/was-erwartet-die-modebranche-herbst-winter-2020/2020090736998,Germany,2020-10-24,[],"['Julien', 'Durant', 'Managing', 'Director', 'Picture', 'Organic', 'Clothing']","""We are also experiencing less fair behavior from some key accounts who cut their pre-orders in half or even to a third and rely on the brands having the appropriate stocks,"" explains Julien Durant, Managing Director of Picture Organic Clothing.",5176,German,['half'],"'Monday, September 07, 2020'",Fashion United Business - Germany,Germany,16
'Sandro parent SMCP increases annual sales by around eleven percent',https://fashionunited.de/nachrichten/business/sandro-mutter-smcp-steigert-jahresumsatz-um-rund-elf-prozent/2020012934369,Germany,2020-10-24,[],"['France', '-10', 'EMEA', '+45', 'APAC', 'America', '+14']","While in France
targeted cuts were made (-10 locations), the group built
its presence in the regions EMEA (+45 locations), APAC (+41 locations)
and America (+14 locations).",5204,German,[],"'Wednesday January 29, 2020'",Fashion United Business - Germany,Germany,16
"'\n Recht &amp; Praxis: Die Mehrwertsteuersenkung – Segen für Verbraucher, Fluch für Unternehmen?\n'",https://fashionunited.de/nachrichten/business/recht-praxis-die-mehrwertsteuersenkung-segen-fuer-verbraucher-fluch-fuer-unternehmen/2020062436087,Germany,2020-10-24,[],[],"Who with his
old gross prices must remain in view of the immediate and
automatically occurring tax cut temporarily increase its net price.",5159,German,[],"'Wednesday June 24, 2020'",Fashion United Business - Germany,Germany,16
'Gerry Weber: A majority of creditors agree to a debt deferral',https://fashionunited.de/nachrichten/business/gerry-weber-glaeubiger-stimmen-forderungsstundung-mehrheitlich-zu/2020060235825,Germany,2020-10-24,[],"['Clothing', 'master']","With the restructuring concept, the financial contributions of the creditors and
The owner wants to include austerity measures such as job cuts
Clothing supplier the economic effects of the corona crisis
master.",5146,German,[],"'Tuesday, June 02, 2020'",Fashion United Business - Germany,Germany,16
'Sustainability: Boomers are better than their reputation',https://fashionunited.de/nachrichten/mode/nachhaltigkeit-boomer-sind-besser-als-ihr-ruf/2020020434423,Germany,2020-10-24,[],[],"39 percent of seniors prefer it
When buying at the counter, cut instead of prepackaged products, 19 percent
more than millennials; 38 percent of seniors compost.",5265,German,[],"'Tuesday, February 04, 2020'",Fashion United Fashion - Germany,Germany,16
'You should definitely avoid these dirndl mistakes',https://fashionunited.de/nachrichten/mode/diese-dirndl-fehler-sollten-sie-unbedingt-vermeiden/2020090136918,Germany,2020-10-24,[],[],A cut that is too deep can also ensure that the dirndl quickly looks cheap.,5207,German,[],"'Tuesday, September 01, 2020'",Fashion United Fashion - Germany,Germany,16
'Paris Fashion Week: key fashion shows Spring / Summer 2021',https://fashionunited.de/nachrichten/mode/paris-fashion-week-schluessel-modenschauen-fruehjahr-sommer-2021/2020101437440,Germany,2020-10-24,[],[],"A reduced number of cuts and fits in the collection focused on the silhouette created by the wearer, while bathrobe-inspired styles and orthopedic sandals added an element of comfort.",5225,German,[],"'Wednesday October 14, 2020'",Fashion United Fashion - Germany,Germany,16
'Milan Fashion Week: 5 trends that will matter',https://fashionunited.de/nachrichten/mode/milan-fashion-week-5-trends-die-wichtig-werden/2020022734708,Germany,2020-10-24,[],"['Missoni', 'Mistake']","At
Missoni it is generously cut and with a geometric pattern
Mistake.",5249,German,[],"'Thursday February 27, 2020'",Fashion United Fashion - Germany,Germany,16
'StockX: A sneaker for every country',https://fashionunited.de/nachrichten/mode/stockx-jedem-land-sein-sneaker/2020042435391,Germany,2020-10-24,[],"['Nike', 'Air', 'Max', 'Bronze', 'Eclipse']","At the
The best cut from the Nike Air Max 1 Bronze Eclipse (168 euros).",5234,German,['168'],'Friday April 24th 2020',Fashion United Fashion - Germany,Germany,16
'Boss unveils spring / summer 2021 collection including livestream',https://fashionunited.de/nachrichten/mode/boss-enthuellt-fruehjahr-sommer-2021-kollektion-samt-livestream/2020093037252,Germany,2020-10-24,[],"['Southern', 'Germany']","Boss continues to rely on big things
craftsmanship and procured many of the materials used in
Southern Germany, while embroidery and precise laser cut attention
focused on details.",5223,German,[],"'Wednesday September 30, 2020'",Fashion United Fashion - Germany,Germany,16
'Fashion lecturers are having a particularly difficult time during the pandemic',https://fashionunited.de/nachrichten/mode/modedozenten-haben-es-waehrend-der-pandemie-besonders-schwer/2020091837138,Germany,2020-10-24,[],[],But one understands where it comes from when the parents see the family budget badly shaken by unemployment or failed companies.,5212,German,['one'],'Friday 18th September 2020',Fashion United Fashion - Germany,Germany,16
